,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,GAIN
1489,NPST,SM,120.0,154.0,120.0,151.4,154.0,140.1,75200,9866480.0,27-DEC-2022,30,INE0FFK01017,0.2616666666666667
1770,SANDESH,EQ,790.55,964.1,790.55,964.1,964.1,803.45,81669,74663923.35,27-DEC-2022,5759,INE583B01015,0.21953070647017908
366,CENTUM,EQ,634.9,757.7,624.5,752.6,757.7,631.45,464420,336163046.75,27-DEC-2022,19861,INE320B01020,0.18538352496456142
1056,JINDALPHOT,EQ,299.95,347.45,294.0,347.45,347.45,289.55,98317,33044134.45,27-DEC-2022,4301,INE796G01012,0.15835972662110354
1422,NAVA,EQ,211.0,245.65,207.65,242.75,243.3,210.05,4357698,1019804213.25,27-DEC-2022,50108,INE725A01022,0.1504739336492891
1996,SREIBNPNCD,NR,160.0,183.95,160.0,183.28,183.95,180.0,295,52322.75,27-DEC-2022,3,INE881J08607,0.14550000000000002
1976,SONAMCLOCK,EQ,44.95,53.8,44.85,51.4,51.5,44.85,1248350,64284313.9,27-DEC-2022,2233,INE00LM01011,0.1434927697441601
1989,SPLIL,EQ,67.0,77.5,65.5,75.65,76.5,65.2,453625,33229654.25,27-DEC-2022,4268,INE978G01016,0.12910447761194038
1625,PRECOT,EQ,168.95,194.9,168.0,190.0,189.45,169.85,6026,1106556.95,27-DEC-2022,269,INE283A01014,0.12459307487422322
1775,SANGINITA,EQ,21.15,25.55,20.0,23.75,24.1,21.3,515513,12651495.8,27-DEC-2022,2018,INE753W01010,0.12293144208037833
1668,RAJTV,EQ,49.65,57.2,48.3,55.75,56.0,47.7,374518,20950023.7,27-DEC-2022,3650,INE952H01027,0.12286002014098694
1741,RSWM-RE,BE,71.0,81.9,68.55,79.7,80.0,70.2,188674,14351773.3,27-DEC-2022,1232,INE611A20016,0.12253521126760568
1143,KITEX,EQ,179.5,204.0,179.5,200.45,199.3,176.35,2012652,399958409.4,27-DEC-2022,25708,INE602G01020,0.1167130919220055
1296,MANUGRAPH,EQ,14.9,16.6,14.9,16.6,16.6,15.1,83513,1364218.7,27-DEC-2022,311,INE867A01022,0.1140939597315437
179,ASHAPURMIN,EQ,81.45,93.7,81.45,89.9,89.55,80.25,901452,80691043.45,27-DEC-2022,10608,INE348A01023,0.10374462860650709
1610,PONNIERODE,EQ,400.0,447.0,390.05,441.4,445.0,380.3,470320,197729458.35,27-DEC-2022,12679,INE838E01017,0.10349999999999994
600,EXCEL,BE,0.5,0.55,0.5,0.55,0.55,0.5,13681303,7485194.7,27-DEC-2022,1595,INE688J01023,0.10000000000000009
2302,WEWIN,EQ,39.2,43.05,39.2,43.05,43.05,41.0,8718,366272.6,27-DEC-2022,95,INE082W01014,0.09821428571428556
1399,MUKANDLTD,EQ,115.6,128.95,115.0,126.8,127.5,114.0,475475,59075242.15,27-DEC-2022,8077,INE304A01026,0.09688581314878895
1710,RHFL,N6,411.0,454.85,396.6,449.09,449.0,393.79,1458,627337.3,27-DEC-2022,46,INE217K07AG5,0.09267639902676393
1426,NAVKARCORP,EQ,57.0,64.2,57.0,62.2,62.5,56.2,2560982,157669916.95,27-DEC-2022,13731,INE278M01019,0.09122807017543864
651,GANGAFORGE,EQ,4.4,5.15,4.4,4.8,4.85,4.3,2633204,13052059.15,27-DEC-2022,2128,INE691Z01023,0.09090909090909079
2118,TEMBO,EQ,109.0,119.4,109.0,118.85,119.4,108.55,172358,19937088.4,27-DEC-2022,1040,INE869Y01010,0.09036697247706417
1117,KCPSUGIND,EQ,28.5,31.5,27.9,31.05,31.25,26.85,3587318,108702225.15,27-DEC-2022,10901,INE790B01024,0.08947368421052634
794,HECPROJECT,EQ,33.45,36.4,30.65,36.4,36.4,30.35,17194,602261.75,27-DEC-2022,161,INE558R01013,0.08819133034379657
